Index,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,Afghanistan,9,2,1,1,24,6,30,41,21,5,25,16,181
2,Albania,6,8,4,6,7,9,12,9,3,4,8,12,88
3,Algeria,21,16,15,33,22,25,29,36,39,19,27,29,311
4,Andorra,4,1,1,3,2,2,7,15,4,7,1,6,53
5,Angola,0,0,1,1,0,0,1,1,0,0,1,5,10
6,Antigua and Barbuda,4,2,2,3,1,0,1,6,3,0,2,3,27
7,Argentina,76,43,94,71,66,37,34,52,42,49,56,67,687
8,Armenia,258,145,124,158,74,85,123,144,101,301,324,653,"2,490"
9,Aruba,0,0,0,0,1,0,0,0,0,0,0,1,2
10,Australia,"3,668","3,113","4,725","4,996","4,201","6,195","5,323","5,522","5,969","4,977","7,900","10,847","67,436"
11,Austria,956,934,872,649,440,299,979,866,726,778,"1,212","1,883","10,594"
12,Azerbaijan,115,64,343,120,54,71,191,156,82,94,195,194,"1,679"
13,Bahamas,0,1,3,3,0,2,3,0,2,0,1,5,20
14,Bahrain,134,35,56,86,78,171,204,176,52,54,82,104,"1,232"
15,Bangladesh,717,531,612,960,"1,145","1,072","1,520","1,533","1,441","2,456","2,674","3,185","17,846"
16,Barbados,0,1,3,0,1,1,1,5,1,1,2,0,16
17,Belarus,"1,204","1,244","1,399",627,428,441,453,497,778,824,"1,508","1,566","10,969"
18,Belgium,646,725,722,636,420,438,"2,259","1,330","1,061",666,769,995,"10,667"
19,Belize,1,0,1,2,0,1,0,1,1,2,0,0,9
20,Benin,1,0,0,1,0,0,0,1,3,1,0,3,10
21,Bhutan,32,19,24,25,21,39,41,60,32,39,33,68,433
22,Bolivia,0,1,6,4,5,2,2,2,0,5,3,4,34
23,Bosnia and Herzegovina,10,7,15,16,18,3,10,15,8,9,14,50,175
24,Botswana,4,1,2,3,7,3,11,2,2,2,3,21,61
25,Brazil,101,83,112,208,74,84,69,77,82,94,117,236,"1,337"
26,Brunei Darussalam,0,6,1,2,0,3,5,2,4,1,6,3,33
27,Bulgaria,134,325,283,150,18,16,45,46,60,94,234,555,"1,960"
28,Burkina Faso,0,1,0,1,4,0,0,1,0,2,0,0,9
29,Burundi,0,2,0,0,0,0,1,2,2,2,2,1,12
30,Cambodia,31,57,47,12,75,75,47,9,26,70,42,28,519
31,Cameroon,8,3,0,0,2,2,2,2,1,4,3,1,28
32,Canada,"3,681","3,107","4,066","3,310","3,753","4,509","5,737","4,735","2,426","2,302","2,678","3,640","43,944"
33,Cape Verde,0,0,0,1,0,0,1,0,0,0,0,0,2
34,Chad,0,0,0,0,0,0,0,0,1,0,0,0,1
35,Central African Republic,0,0,0,0,0,0,0,0,0,0,1,1,2
36,Chile,26,45,27,45,33,42,27,28,19,30,31,41,394
37,China,835,"1,535","3,096","5,118","4,173","5,105","10,062","9,262","8,445","6,211","6,673","8,274","68,789"
38,Colombia,36,38,46,56,33,42,22,52,49,30,56,79,539
39,Comoros,3,3,3,3,5,12,16,6,7,1,5,2,66
40,"Congo, The Democratic Republic",0,3,1,2,2,3,2,2,2,3,0,1,21
41,Costa Rica,6,4,8,0,3,7,3,2,5,8,6,10,62
42,Cote Divoire,2,2,0,0,0,1,0,1,0,3,1,0,10
43,Croatia,84,84,91,57,24,23,59,73,48,104,111,172,930
44,Cuba,5,1,12,2,6,2,2,2,1,4,7,6,50
45,Cyprus,51,41,67,81,28,49,112,282,15,59,71,95,951
46,Czech Republic,960,"1,206","1,287",820,259,277,789,525,413,681,"2,373","2,466","12,056"
47,Denmark,"1,081","1,110",895,727,348,680,"1,721",552,472,556,764,"1,440","10,346"
48,Djibouti,0,3,0,1,0,1,2,0,1,1,1,1,11
49,Dominica,8,3,14,4,4,7,6,4,8,4,3,20,85
50,Dominican Republic,2,0,2,2,1,3,1,1,5,6,4,2,29
51,Ecuador,10,6,7,10,6,8,6,4,6,11,12,12,98
52,Egypt,127,241,185,309,164,260,292,239,189,269,344,472,"3,091"
53,El Salvador,3,2,1,8,4,2,5,4,2,1,3,4,39
54,Eritrea,2,0,3,2,4,3,1,4,1,1,1,0,22
55,Estonia,182,193,197,60,35,19,15,26,47,99,229,706,"1,808"
56,Ethiopia,8,6,1,9,5,12,19,6,13,11,12,19,121
57,Fiji,6,5,17,4,8,9,18,18,6,16,19,40,166
58,Finland,257,204,173,123,93,116,106,61,132,197,352,473,"2,287"
59,France,"4,840","6,118","5,786","5,535","2,414","2,895","7,432","6,223","2,661","2,956","3,882","5,509","56,251"
